,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,age,anglosphere,gender_binary
28,29,Karl Manne Georg,Siegbahn,1886-12-03,1978-09-26,Sweden,SE,Lund,Sweden,SE,Ängelholm,male,1924.0,physics,,1.0,"""for his discoveries and research in the field of X-ray spectroscopy""",Uppsala University,Uppsala,Sweden,38,0,1
29,30,James,Franck,1882-08-26,1964-05-21,Germany,DE,Hamburg,West Germany (now Germany),DE,Göttingen,male,1925.0,physics,,2.0,"""for their discovery of the laws governing the impact of an electron upon an atom""",Goettingen University,Göttingen,Germany,43,0,1
30,31,Gustav Ludwig,Hertz,1887-07-22,1975-10-30,Germany,DE,Hamburg,East Germany,DE,Berlin,male,1925.0,physics,,2.0,"""for their discovery of the laws governing the impact of an electron upon an atom""",Halle University,Halle,Germany,38,0,1
31,32,Jean Baptiste,Perrin,1870-09-30,1942-04-17,France,FR,Lille,USA,US,"New York, NY",male,1926.0,physics,,1.0,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",Sorbonne University,Paris,France,56,0,1
32,33,Arthur Holly,Compton,1892-09-10,1962-03-15,USA,US,"Wooster, OH",USA,US,"Berkeley, CA",male,1927.0,physics,,2.0,"""for his discovery of the effect named after him""",University of Chicago,"Chicago, IL",USA,35,1,1
33,34,Charles Thomson Rees,Wilson,1869-02-14,1959-11-15,Scotland,GB,Glencorse,Scotland,GB,Carlops,male,1927.0,physics,,2.0,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",University of Cambridge,Cambridge,United Kingdom,58,1,1
34,35,Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,GB,Dewsbury,United Kingdom,GB,Alton,male,1928.0,physics,,1.0,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",London University,London,United Kingdom,49,1,1
35,36,Prince Louis-Victor Pierre Raymond,de Broglie,1892-08-15,1987-03-19,France,FR,Dieppe,France,FR,Paris,male,1929.0,physics,,1.0,"""for his discovery of the wave nature of electrons""","Sorbonne University, Institut Henri Poincaré",Paris,France,37,0,1
36,37,Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,IN,Tiruchirappalli,India,IN,Bangalore,male,1930.0,physics,,1.0,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,Calcutta,India,42,0,1
37,38,Werner Karl,Heisenberg,1901-12-05,1976-02-01,Germany,DE,Würzburg,West Germany (now Germany),DE,Munich,male,1932.0,physics,,1.0,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",Leipzig University,Leipzig,Germany,31,0,1
38,39,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,AT,Vienna,Austria,AT,Vienna,male,1933.0,physics,,2.0,"""for the discovery of new productive forms of atomic theory""",Berlin University,Berlin,Germany,46,0,1
39,40,Paul Adrien Maurice,Dirac,1902-08-08,1984-10-20,United Kingdom,GB,Bristol,USA,US,"Tallahassee, FL",male,1933.0,physics,,2.0,"""for the discovery of new productive forms of atomic theory""",University of Cambridge,Cambridge,United Kingdom,31,1,1
40,41,James,Chadwick,1891-10-20,1974-07-24,United Kingdom,GB,Manchester,United Kingdom,GB,Cambridge,male,1935.0,physics,,1.0,"""for the discovery of the neutron""",Liverpool University,Liverpool,United Kingdom,44,1,1
41,42,Victor Franz,Hess,1883-06-24,1964-12-17,Austria,AT,Peggau,USA,US,"Mount Verno, NY",male,1936.0,physics,,2.0,"""for his discovery of cosmic radiation""",Innsbruck University,Innsbruck,Austria,53,0,1
42,43,Carl David,Anderson,1905-09-03,1991-01-11,USA,US,"New York, NY",USA,US,"San Marino, CA",male,1936.0,physics,,2.0,"""for his discovery of the positron""",California Institute of Technology (Caltech),"Pasadena, CA",USA,31,1,1
43,44,Clinton Joseph,Davisson,1881-10-22,1958-02-01,USA,US,"Bloomington, IL",USA,US,"Charlottesville, VA",male,1937.0,physics,,2.0,"""for their experimental discovery of the diffraction of electrons by crystals""",Bell Telephone Laboratories,"New York, NY",USA,56,1,1
44,45,George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,GB,Cambridge,United Kingdom,GB,Cambridge,male,1937.0,physics,,2.0,"""for their experimental discovery of the diffraction of electrons by crystals""",London University,London,United Kingdom,45,1,1
45,46,Enrico,Fermi,1901-09-29,1954-11-28,Italy,IT,Rome,USA,US,"Chicago, IL",male,1938.0,physics,,1.0,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",Rome University,Rome,Italy,37,0,1
46,47,Ernest Orlando,Lawrence,1901-08-08,1958-08-27,USA,US,"Canton, SD",USA,US,"Palo Alto, CA",male,1939.0,physics,,1.0,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",University of California,"Berkeley, CA",USA,38,1,1
47,48,Otto,Stern,1888-02-17,1969-08-17,Germany (now Poland),PL,Sorau (now Zory),USA,US,"Berkeley, CA",male,1943.0,physics,,1.0,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",Carnegie Institute of Technology,"Pittsburgh, PA",USA,55,0,1
48,49,Isidor Isaac,Rabi,1898-07-29,1988-01-11,Austria-Hungary (now Poland),PL,Rymanow,USA,US,"New York, NY",male,1944.0,physics,,1.0,"""for his resonance method for recording the magnetic properties of atomic nuclei""",Columbia University,"New York, NY",USA,46,0,1
49,50,Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,AT,Vienna,Switzerland,CH,Zurich,male,1945.0,physics,,1.0,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",Princeton University,"Princeton, NJ",USA,45,0,1
50,51,Percy Williams,Bridgman,1882-04-21,1961-08-20,USA,US,"Cambridge, MA",USA,US,"Randolph, NH",male,1946.0,physics,,1.0,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",Harvard University,"Cambridge, MA",USA,64,1,1
51,52,Sir Edward Victor,Appleton,1892-09-06,1965-04-21,United Kingdom,GB,Bradford,Scotland,GB,Edinburgh,male,1947.0,physics,,1.0,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",Department of Scientific and Industrial Research,London,United Kingdom,55,1,1
52,53,Patrick Maynard Stuart,Blackett,1897-11-18,1974-07-13,United Kingdom,GB,London,United Kingdom,GB,London,male,1948.0,physics,,1.0,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",Victoria University,Manchester,United Kingdom,51,1,1
53,54,Hideki,Yukawa,1907-01-23,1981-09-08,Japan,JP,Tokyo,Japan,JP,Kyoto,male,1949.0,physics,,1.0,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Kyoto Imperial University,Kyoto,Japan,42,0,1
54,54,Hideki,Yukawa,1907-01-23,1981-09-08,Japan,JP,Tokyo,Japan,JP,Kyoto,male,1949.0,physics,,1.0,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Columbia University,"New York, NY",USA,42,0,1
55,55,Cecil Frank,Powell,1903-12-05,1969-08-09,United Kingdom,GB,Tonbridge,Italy,IT,,male,1950.0,physics,,1.0,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",Bristol University,Bristol,United Kingdom,47,1,1
56,56,Sir John Douglas,Cockcroft,1897-05-27,1967-09-18,United Kingdom,GB,Todmorden,United Kingdom,GB,Cambridge,male,1951.0,physics,,2.0,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,54,1,1
57,57,Ernest Thomas Sinton,Walton,1903-10-06,1995-06-25,Ireland,IE,Dungarvan,Northern Ireland,GB,Belfast,male,1951.0,physics,,2.0,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Trinity College,Dublin,Ireland,48,0,1
58,58,Felix,Bloch,1905-10-23,1983-09-10,Switzerland,CH,Zurich,Switzerland,CH,Zurich,male,1952.0,physics,,2.0,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Stanford University,"Stanford, CA",USA,47,0,1
59,59,Edward Mills,Purcell,1912-08-30,1997-03-07,USA,US,"Taylorville, IL",USA,US,"Cambridge, MA",male,1952.0,physics,,2.0,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Harvard University,"Cambridge, MA",USA,40,1,1
60,60,Frits,Zernike,1888-07-16,1966-03-10,the Netherlands,NL,Amsterdam,the Netherlands,NL,Groningen,male,1953.0,physics,,1.0,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",Groningen University,Groningen,the Netherlands,65,0,1
61,61,Max,Born,1882-12-11,1970-01-05,Germany (now Poland),PL,Breslau (now Wroclaw),West Germany (now Germany),DE,Göttingen,male,1954.0,physics,,2.0,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",Edinburgh University,Edinburgh,United Kingdom,72,0,1
62,62,Walther,Bothe,1891-01-08,1957-02-08,Germany,DE,Oranienburg,West Germany (now Germany),DE,Heidelberg,male,1954.0,physics,,2.0,"""for the coincidence method and his discoveries made therewith""",University of Heidelberg,Heidelberg,Federal Republic of Germany,63,0,1
63,62,Walther,Bothe,1891-01-08,1957-02-08,Germany,DE,Oranienburg,West Germany (now Germany),DE,Heidelberg,male,1954.0,physics,,2.0,"""for the coincidence method and his discoveries made therewith""",Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,63,0,1
64,63,Willis Eugene,Lamb,1913-07-12,2008-05-15,USA,US,"Los Angeles, CA",USA,US,"Tucson, AZ",male,1955.0,physics,,2.0,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",Stanford University,"Stanford, CA",USA,42,1,1
65,64,Polykarp,Kusch,1911-01-26,1993-03-20,Germany,DE,Blankenburg,USA,US,"Dallas, TX",male,1955.0,physics,,2.0,"""for his precision determination of the magnetic moment of the electron""",Columbia University,"New York, NY",USA,44,0,1
66,65,William Bradford,Shockley,1910-02-13,1989-08-12,United Kingdom,GB,London,USA,US,"Palo Alto, CA",male,1956.0,physics,,3.0,"""for their researches on semiconductors and their discovery of the transistor effect""","Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",USA,46,1,1
67,66,John,Bardeen,1908-05-23,1991-01-30,USA,US,"Madison, WI",USA,US,"Boston, MA",male,1956.0,physics,,3.0,"""for their researches on semiconductors and their discovery of the transistor effect""",University of Illinois,"Urbana, IL",USA,48,1,1
68,66,John,Bardeen,1908-05-23,1991-01-30,USA,US,"Madison, WI",USA,US,"Boston, MA",male,1972.0,physics,,3.0,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",University of Illinois,"Urbana, IL",USA,64,1,1
69,67,Walter Houser,Brattain,1902-02-10,1987-10-13,China,CN,Amoy,USA,US,"Seattle, WA",male,1956.0,physics,,3.0,"""for their researches on semiconductors and their discovery of the transistor effect""",Bell Telephone Laboratories,"Murray Hill, NJ",USA,54,0,1
70,68,Chen Ning,Yang,1922-09-22,,China,CN,"Hofei, Anhwei",,,,male,1957.0,physics,,2.0,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Institute for Advanced Study,"Princeton, NJ",USA,35,0,1
71,69,Tsung-Dao (T.D.),Lee,1926-11-24,,China,CN,Shanghai,,,,male,1957.0,physics,,2.0,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Columbia University,"New York, NY",USA,31,0,1
72,70,Pavel Alekseyevich,Cherenkov,1904-07-28,1990-01-06,Russia,RU,Novaya Chigla,USSR,RU,,male,1958.0,physics,,3.0,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,USSR,54,0,1
73,71,Igor Yevgenyevich,Tamm,1895-07-08,1971-04-12,Russia,RU,Vladivostok,USSR (now Russia),RU,Moscow,male,1958.0,physics,,3.0,"""for the discovery and the interpretation of the Cherenkov effect""",University of Moscow,Moscow,USSR,63,0,1
74,71,Igor Yevgenyevich,Tamm,1895-07-08,1971-04-12,Russia,RU,Vladivostok,USSR (now Russia),RU,Moscow,male,1958.0,physics,,3.0,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,USSR,63,0,1
75,72,Emilio Gino,Segrè,1905-02-01,1989-04-22,Italy,IT,Tivoli,USA,US,"Lafayette, CA",male,1959.0,physics,,2.0,"""for their discovery of the antiproton""",University of California,"Berkeley, CA",USA,54,0,1
76,73,Owen,Chamberlain,1920-07-10,2006-02-28,USA,US,"San Francisco, CA",USA,US,"Berkeley, CA",male,1959.0,physics,,2.0,"""for their discovery of the antiproton""",University of California,"Berkeley, CA",USA,39,1,1
77,74,Donald Arthur,Glaser,1926-09-21,2013-02-28,USA,US,"Cleveland, OH",USA,US,"Berkeley, CA",male,1960.0,physics,,1.0,"""for the invention of the bubble chamber""",University of California,"Berkeley, CA",USA,34,1,1
78,75,Robert,Hofstadter,1915-02-05,1990-11-17,USA,US,"New York, NY",USA,US,"Stanford, CA",male,1961.0,physics,,2.0,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",Stanford University,"Stanford, CA",USA,46,1,1
79,76,Rudolf Ludwig,Mössbauer,1929-01-31,2011-09-14,Germany,DE,Munich,,,,male,1961.0,physics,,2.0,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Technical University,Munich,Federal Republic of Germany,32,0,1
80,76,Rudolf Ludwig,Mössbauer,1929-01-31,2011-09-14,Germany,DE,Munich,,,,male,1961.0,physics,,2.0,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",California Institute of Technology (Caltech),"Pasadena, CA",USA,32,0,1
81,77,Lev Davidovich,Landau,1908-01-22,1968-04-01,Russian Empire (now Azerbaijan),AZ,Baku,USSR (now Russia),RU,Moscow,male,1962.0,physics,,1.0,"""for his pioneering theories for condensed matter, especially liquid helium""",Academy of Sciences,Moscow,USSR,54,0,1
82,78,Eugene Paul,Wigner,1902-11-17,1995-01-01,Austria-Hungary (now Hungary),HU,Budapest,USA,US,"Princeton, NJ",male,1963.0,physics,,2.0,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",Princeton University,"Princeton, NJ",USA,61,0,1
83,79,Maria,Goeppert Mayer,1906-06-28,1972-02-20,Germany (now Poland),PL,Kattowitz (now Katowice),USA,US,"San Diego, CA",female,1963.0,physics,,4.0,"""for their discoveries concerning nuclear shell structure""",University of California,"La Jolla, CA",USA,57,0,0
84,80,J. Hans D.,Jensen,1907-06-25,1973-02-11,Germany,DE,Hamburg,West Germany (now Germany),DE,Heidelberg,male,1963.0,physics,,4.0,"""for their discoveries concerning nuclear shell structure""",University of Heidelberg,Heidelberg,Federal Republic of Germany,56,0,1
85,81,Charles Hard,Townes,1915-07-28,2015-01-27,USA,US,"Greenville, SC",USA,US,"Berkeley, CA",male,1964.0,physics,,2.0,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,49,1,1
86,82,Nicolay Gennadiyevich,Basov,1922-12-14,2001-07-01,USSR (now Russia),RU,Usman,Russia,RU,Moscow,male,1964.0,physics,,4.0,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,USSR,42,0,1
87,83,Aleksandr Mikhailovich,Prokhorov,1916-07-11,2002-01-08,Australia,AU,Atherton,Russia,RU,Moscow,male,1964.0,physics,,4.0,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,USSR,48,1,1
88,84,Sin-Itiro,Tomonaga,1906-03-31,1979-07-08,Japan,JP,Kyoto,Japan,JP,Tokyo,male,1965.0,physics,,3.0,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Tokyo University of Education,Tokyo,Japan,59,0,1
89,85,Julian,Schwinger,1918-02-12,1994-07-16,USA,US,"New York, NY",USA,US,"Los Angeles, CA",male,1965.0,physics,,3.0,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",Harvard University,"Cambridge, MA",USA,47,1,1
90,86,Richard P.,Feynman,1918-05-11,1988-02-15,USA,US,"New York, NY",USA,US,"Los Angeles, CA",male,1965.0,physics,,3.0,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",California Institute of Technology (Caltech),"Pasadena, CA",USA,47,1,1
91,87,Alfred,Kastler,1902-05-03,1984-01-07,Germany (now France),FR,Guebwiller,France,FR,Bandol,male,1966.0,physics,,1.0,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",École Normale Supérieure,Paris,France,64,0,1
92,88,Hans Albrecht,Bethe,1906-07-02,2005-03-06,Germany (now France),FR,Strassburg (now Strasbourg),USA,US,"Ithaca, NY",male,1967.0,physics,,1.0,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",Cornell University,"Ithaca, NY",USA,61,0,1
93,89,Luis Walter,Alvarez,1911-06-13,1988-09-01,USA,US,"San Francisco, CA",USA,US,"Berkeley, CA",male,1968.0,physics,,1.0,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",University of California,"Berkeley, CA",USA,57,1,1
94,90,Murray,Gell-Mann,1929-09-15,,USA,US,"New York, NY",,,,male,1969.0,physics,,1.0,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",California Institute of Technology (Caltech),"Pasadena, CA",USA,40,1,1
95,91,Hannes Olof Gösta,Alfvén,1908-05-30,1995-04-02,Sweden,SE,Norrköping,Sweden,SE,Djursholm,male,1970.0,physics,,2.0,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",Royal Institute of Technology,Stockholm,Sweden,62,0,1
96,92,Louis Eugène Félix,Néel,1904-11-22,2000-11-17,France,FR,Lyon,France,FR,Brive-Corrèze,male,1970.0,physics,,2.0,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",University of Grenoble,Grenoble,France,66,0,1
97,93,Dennis,Gabor,1900-06-05,1979-02-08,Hungary,HU,Budapest,United Kingdom,GB,London,male,1971.0,physics,,1.0,"""for his invention and development of the holographic method""",Imperial College,London,United Kingdom,71,0,1
98,95,Leon Neil,Cooper,1930-02-28,,USA,US,"New York, NY",,,,male,1972.0,physics,,3.0,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",Brown University,"Providence, RI",USA,42,1,1
99,96,John Robert,Schrieffer,1931-05-31,,USA,US,"Oak Park, IL",,,,male,1972.0,physics,,3.0,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",University of Pennsylvania,"Philadelphia, PA",USA,41,1,1
100,97,Leo,Esaki,1925-03-12,,Japan,JP,Osaka,,,,male,1973.0,physics,,4.0,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",USA,48,0,1
101,98,Ivar,Giaever,1929-04-05,,Norway,NO,Bergen,,,,male,1973.0,physics,,4.0,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",General Electric Company,"Schenectady, NY",USA,44,0,1
